;Sample No.;Order;K;TSum;KM;TM;LM;MS Real;MS Ideal;Tr_RSW;Mp_RSW;Ts_RSW;Ys_RSW;Tr_R;Mp_R;Ts_R;Ys_R;Tr_ISW;Mp_ISW;Ts_ISW;Ys_ISW;Tr_I;Mp_I;Ts_I;Ys_I
23;24.0;3.0;5.895052257028784;41.44257945922698;5.876792602133549;18.5436270057548;6.805469606569044;1.1992399038957307;1.2210518209289332;18.821827491914682;;102.17563495610828;0.9980723394788377;9.410916265716379;0.0018548280093635405;72.59849690695492;1.0007313529284618;18.681777003710096;;108.97703252164222;1.0003186394166121;10.897703252166114;0.0009356628667560596;79.39755226578168;1.001129679426167
24;25.0;3.0;6.184628568457285;23.741924313575204;6.166396823019185;21.256023016214474;9.904278938961518;1.1708426538902055;1.212976314199492;;;;;13.49135464193129;;121.42219177738161;0.9975709615195009;25.6978484563886;;154.1870907383316;0.9948741106307735;15.814060588548344;;128.48924228195528;0.9987813154223983
25;26.0;3.0;8.022269766658981;16.011727469285628;8.01198474000239;11.741002947644372;2.9362684950068125;1.194473322763663;1.2463250610887198;8.2007967175846;0.0019812668251402155;45.477145433878235;1.00272808011402;3.7276349209999973;0.026134761326727984;26.09344444699998;1.0007270548031921;8.584276184990392;0.0013737952784249607;46.82332464540214;1.0022898195684573;4.682332464541321;0.018485505780395206;26.533217299067484;1.0008407433786892
26;27.0;3.0;8.134149448506388;31.227010020324304;8.1251416207771;17.97477380765752;4.296219021030893;1.1390135150511405;1.249003764816931;11.591849034704357;0.005619426230850877;68.26311098214788;1.0020655997917127;5.1519340315487865;0.02717932630023223;39.927488744503094;1.0001492578467077;12.71577491505344;0.0016080175801824748;69.35877226392786;1.0023177140009825;6.935877226394558;0.021621169425438014;38.14732474517007;1.000747757920121
27;28.0;3.0;8.789477620359897;31.67473397172155;8.735804570401479;12.902625085687518;6.398865108856899;1.1737822276819607;1.211366771432127;16.368190655334413;;94.7016745058634;0.9930359351707041;8.183841032430005;;79.50017002932005;0.9982877150814118;17.16167488814977;;98.0667136465701;0.9925390199853416;9.806671364660227;;84.58254052019446;0.9974908079688949
28;29.0;3.0;8.02091440543198;31.10190623129852;8.00712535896802;17.57036660152993;7.0394114274911885;1.1653492449062128;1.217751192522045;17.72007063288417;;109.27376890278572;0.99955725069625;8.860035056544298;0.0005098377279850741;82.69366052774677;1.0013151305988588;19.987425067456737;;112.23707922494937;0.9988903967458599;10.762459651707616;2.8652965783360074e-05;86.09967721366093;1.0006659724285232
29;30.0;3.0;4.173941748445899;37.95093813538496;4.168399417059614;12.215160773317368;3.833152339958076;1.1581713714942576;1.2307678641048658;10.61439341903202;0.0010542294449429335;59.82658108908956;1.0024106336253318;4.824724411041319;0.01029130829710767;39.56274017053882;1.0011758517845673;11.301436663075705;0.00011377493921993498;61.21611525832674;1.0017066899149436;5.650718331538563;0.00571615044140672;40.496814709359704;1.0012631127635443
30;31.0;4.0;9.79746166372749;50.83360841084394;9.759992384090893;22.314874885017815;13.473048418322314;1.2048205024818779;1.2117248421142042;33.43114790041491;;209.70447319351172;0.9974094213729257;21.27441975537181;;182.35216933175838;0.9986719400392288;35.08189518756924;;210.4913711254154;0.9965356254210259;20.464438859613285;;184.17994973651957;0.9982782905642814
31;32.0;4.0;6.366836131625096;32.8914128227336;6.356837547906908;12.979180605661615;5.199544947579014;1.1819017937308458;1.2158442083194096;14.243437792570194;;81.07803051155341;0.9991077330897006;7.669477293139965;0.00021945916367038798;62.451457958425436;1.0010225031763704;14.764086009887603;;82.90602144013808;0.9988920931586066;7.949892466866129;2.890072617134365e-05;63.59913973492903;1.0006666212407476
32;33.0;4.0;6.845153754874931;31.117452635827956;6.824834506746594;14.484615662779627;9.295474007098258;1.1823888317387303;1.214061640952762;21.977666658369262;;141.85584843129251;0.9969361378194368;13.985751450968051;;125.87176305871246;0.9984197479920173;22.584663103440924;;143.72058338553313;0.9970143974705725;14.372058338702432;;127.29537385707869;0.9984182082760984
