Time,Gascooler_Valve_System.HPValve.vleFluidB.d,Gascooler_Valve_System.HPValve.vleFluidB.h,Gascooler_Valve_System.HPValve.vleFluidB.p,Gascooler_Valve_System.HPValve.vleFluidB.s,Gascooler_Valve_System.HPValve.vleFluidB.T,Gascooler_Valve_System.HPValve.vleFluidB.M,Gascooler_Valve_System.HPValve.vleFluidB.q,Gascooler_Valve_System.HPValve.vleFluidB.cp,Gascooler_Valve_System.HPValve.vleFluidB.cv,Gascooler_Valve_System.HPValve.vleFluidA.d,Gascooler_Valve_System.HPValve.vleFluidA.h,Gascooler_Valve_System.HPValve.vleFluidA.p,Gascooler_Valve_System.HPValve.vleFluidA.s,Gascooler_Valve_System.HPValve.vleFluidA.T,Gascooler_Valve_System.HPValve.vleFluidA.M,Gascooler_Valve_System.HPValve.vleFluidA.q,Gascooler_Valve_System.HPValve.vleFluidA.cp,Gascooler_Valve_System.HPValve.vleFluidA.cv,Gascooler_Valve_System.HPValve.vleFluidA.w,Gascooler_Valve_System.HPValve.vleFluidA.kappa,Gascooler_Valve_System.HPValve.vleFluidA.beta,Gascooler_Valve_System.HPValve.vleFluidB.beta,Gascooler_Valve_System.HPValve.vleFluidB.kappa,Gascooler_Valve_System.HPValve.vleFluidB.w,Gascooler_Valve_System.HPValve.vleFluidB.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidB.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidB.gamma,Gascooler_Valve_System.HPValve.vleFluidA.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidA.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidA.gamma
0.64,306.728,350000,6.2357e+006,1502.88,296.79,0.0440098,0.623575,6278.35,4247.32,498.075,329087,7.7e+006,1421.08,305.919,0.0440098,1,67995.8,1456.27,169.909,3.24722e-006,0.593116,0.0603418,3.26497e-007,124.167,-0.00220022,7.20353e-005,1.54398,-0.00434462,4.33619e-005,46.6918
0.66,310.084,350000,6.28211e+006,1502.38,297.111,0.0440098,0.624524,6535.09,4247.56,484.324,332292,7.7e+006,1431.56,305.964,0.0440098,1,72716.3,1478.68,168.27,3.58601e-006,0.635906,0.0623773,3.40252e-007,123.652,-0.00223228,7.26016e-005,1.61319,-0.00423542,4.40625e-005,49.1765
0.68,313.849,350000,6.33373e+006,1501.82,297.466,0.0440098,0.625738,6848.95,4248.9,470.769,335538,7.7e+006,1442.16,306.008,0.0440098,1,73939.3,1491.53,167.534,3.75172e-006,0.646643,0.0648844,3.57167e-007,123.07,-0.00226836,7.32508e-005,1.69783,-0.00411716,4.4374e-005,49.5726
0.7,317.942,350000,6.38933e+006,1501.23,297.846,0.0440098,0.627255,7225.74,4251.84,457.48,338813,7.7e+006,1452.87,306.052,0.0440098,1,74742.5,1494.92,167.522,3.89437e-006,0.652985,0.0679176,3.776e-007,122.427,-0.00230774,7.3977e-005,1.79942,-0.00399675,4.43699e-005,49.9978
0.72,322.339,350000,6.44845e+006,1500.61,298.246,0.0440098,0.629138,7678.62,4256.85,444.462,342121,7.7e+006,1463.68,306.097,0.0440098,1,72538.2,1489.38,168.197,3.87336e-006,0.632135,0.0715911,4.02312e-007,121.723,-0.00235022,7.47833e-005,1.92142,-0.00387327,4.40623e-005,48.7035
0.74,326.997,350000,6.51038e+006,1499.97,298.662,0.0440098,0.631457,8223.33,4264.38,431.744,345459,7.7e+006,1474.58,306.145,0.0440098,1,66297.9,1475.69,169.465,3.62342e-006,0.575534,0.0760414,4.32216e-007,120.961,-0.00239541,7.56704e-005,2.06794,-0.00374798,4.3502e-005,44.9267
0.76,331.852,350000,6.57414e+006,1499.32,299.087,0.0440098,0.634282,8877.34,4274.96,419.346,348823,7.7e+006,1485.57,306.199,0.0440098,1,57587.3,1455.12,171.187,3.22042e-006,0.497561,0.0814202,4.68325e-007,120.146,-0.0024427,7.66363e-005,2.24343,-0.0036232,4.2764e-005,39.5755
0.78,336.836,350000,6.63873e+006,1498.68,299.513,0.0440098,0.637684,9662.61,4289.09,407.285,352209,7.7e+006,1496.62,306.263,0.0440098,1,48466.3,1429.4,173.208,2.77492e-006,0.416626,0.0879161,5.11906e-007,119.282,-0.00249145,7.76793e-005,2.45336,-0.0035011,4.19283e-005,33.9068
0.8,341.914,350000,6.70364e+006,1498.04,299.939,0.0440098,0.641775,10613.7,4307.4,395.595,355606,7.7e+006,1507.71,306.34,0.0440098,1,40243.4,1400.5,175.366,2.36195e-006,0.344202,0.0958233,5.64931e-007,118.368,-0.00254132,7.88051e-005,2.70634,-0.00338353,4.107e-005,28.7349
0.82,347.025,350000,6.76801e+006,1497.42,300.356,0.0440098,0.64666,11771.7,4330.48,384.265,359011,7.7e+006,1518.83,306.434,0.0440098,1,33311.8,1370.18,177.536,2.00732e-006,0.283553,0.10549,6.2974e-007,117.406,-0.00259169,8.00149e-005,3.01235,-0.0032709,4.0239e-005,24.3119
0.84,352.138,350000,6.83139e+006,1496.81,300.764,0.0440098,0.652497,13200.1,4359.22,373.3,362420,7.7e+006,1529.95,306.546,0.0440098,1,27626.9,1339.68,179.653,1.71161e-006,0.234075,0.117456,7.09948e-007,116.392,-0.00264224,8.13202e-005,3.38676,-0.00316286,3.94562e-005,20.622
